,loss,model,accs,thresh,,,,,mean diff,Value – mean,,var,std,,s_mean(x),t
54,0.016929159402847,VGG11_XXS,0.1406,0.96,,,0.6432,,0.617325,0.000669515625,,,,,,
55,0.014318099164963,VGG11_XXS,0.3108,0.97,,,0.473,,0.49026,0.0002979076,,,,,,
56,0.011361802780628,VGG11_XXS,0.4995,0.98,,,0.2843,,0.32279,0.0014814801,,,,,,
57,0.007289525860548,VGG11_XXS,0.6939,0.99,,,0.0899,,0.145465,0.003087469225,,,,,,
58,0.006987185782194,VGG11_XXS,0.7043,0.992,,,0.0795,,0.10781,0.0008014561,,,,,,
59,0.006651648074389,VGG11_XXS,0.7118,0.994,,,0.072,,0.08018,6.69123999999992E-05,,,,,,
60,0.005560675030947,VGG11_XXS,0.7613,0.996,,,0.0225,,0.04062,0.0003283344,,,,,,
61,0.00538885436058,VGG11_XXS,0.7668,0.998,,,0.017,,0.01974,7.5076E-06,,,,,,
62,0.005433885812759,VGG11_XXS,0.7687,0.999,,,0.0151,,0.01709,3.96010000000004E-06,,,,,,
63,0.005056794440746,VGG11_XXS,0.7838,3,,,0,,0,0,,,,,,
64,0.019448087096214,VGG11_XXXS,0.1,0.9,,,0.5633,,0.7016,0.01912689,,,,,,
65,0.018923062348366,VGG11_XXXS,0.1,0.91,,,0.5633,,0.699655,0.018592686025,,,,,,
66,0.018909383821488,VGG11_XXXS,0.1,0.92,,,0.5633,,0.6954,0.01745041,,,,,,
67,0.018952575683594,VGG11_XXXS,0.1005,0.93,,,0.5628,,0.691975,0.016686180625,,,,,,
68,0.018877013230324,VGG11_XXXS,0.1007,0.94,,,0.5626,,0.68129,0.0140873161,,,,,,
69,0.018716116905212,VGG11_XXXS,0.1024,0.95,,,0.5609,,0.663355,0.010497027025,,,,,,
70,0.018688339805603,VGG11_XXXS,0.1068,0.96,,,0.5565,,0.617325,0.003699680625,,,,,,
71,0.015097916483879,VGG11_XXXS,0.2263,0.97,,,0.437,,0.49026,0.0028366276,,,,,,
72,0.013978509032726,VGG11_XXXS,0.3223,0.98,,,0.341,,0.32279,0.0003316041,,,,,,
73,0.011986198794842,VGG11_XXXS,0.4498,0.99,,,0.2135,,0.145465,0.004628761225,,,,,,
74,0.011370100390911,VGG11_XXXS,0.4835,0.992,,,0.1798,,0.10781,0.0051825601,,,,,,
75,0.011196322131157,VGG11_XXXS,0.4872,0.994,,,0.1761,,0.08018,0.0092006464,,,,,,
76,0.008949463897944,VGG11_XXXS,0.5984,0.996,,,0.0649,,0.04062,0.0005895184,,,,,,
77,0.008968888324499,VGG11_XXXS,0.5947,0.998,,,0.0686,,0.01974,0.0023872996,,,,,,
