;loss;model;accs;thresh
116;0.01774981265068054;VGG13_XS;0.1174;0.94
117;0.017326719188690186;VGG13_XS;0.1646;0.95
118;0.015726751494407654;VGG13_XS;0.218;0.96
119;0.013633218026161194;VGG13_XS;0.4219;0.97
120;0.009646330416202544;VGG13_XS;0.6051;0.98
121;0.0050693566650152205;VGG13_XS;0.7809;0.99
122;0.004549877369403839;VGG13_XS;0.8049;0.992
123;0.004401798683404922;VGG13_XS;0.809;0.994
124;0.0039998459756374356;VGG13_XS;0.8242;0.996
125;0.003699582263827324;VGG13_XS;0.8425;0.998
126;0.003691102360188961;VGG13_XS;0.8433;0.999
127;0.003674292454123497;VGG13_XS;0.8453;3.0
128;0.02223751676082611;VGG13_XXS;0.098;0.9
129;0.022013656497001648;VGG13_XXS;0.1012;0.91
130;0.021783871030807495;VGG13_XXS;0.0962;0.92
131;0.018617783761024475;VGG13_XXS;0.1017;0.93
132;0.017637530660629272;VGG13_XXS;0.1141;0.94
133;0.017268025374412535;VGG13_XXS;0.1366;0.95
134;0.01687252960205078;VGG13_XXS;0.1526;0.96
135;0.014244759023189545;VGG13_XXS;0.2967;0.97
136;0.010843765592575074;VGG13_XXS;0.5259;0.98
137;0.006927641487121582;VGG13_XXS;0.7083;0.99
138;0.006447842800617218;VGG13_XXS;0.7274;0.992
139;0.006083198660612106;VGG13_XXS;0.7432;0.994
140;0.005936441743373871;VGG13_XXS;0.7498;0.996
141;0.005636092495918274;VGG13_XXS;0.7561;0.998
142;0.005593028596043587;VGG13_XXS;0.7596;0.999
143;0.0047889736533164974;VGG13_XXS;0.7918;3.0
144;0.01833579213619232;VGG13_XXXS;0.102;0.9
145;0.01833686773777008;VGG13_XXXS;0.1017;0.91
146;0.01823373682498932;VGG13_XXXS;0.1135;0.92
147;0.018157792401313783;VGG13_XXXS;0.1217;0.93
148;0.018480347204208374;VGG13_XXXS;0.1619;0.94
149;0.018056008505821227;VGG13_XXXS;0.1097;0.95
150;0.01779536874294281;VGG13_XXXS;0.1261;0.96
151;0.015007733297348022;VGG13_XXXS;0.3082;0.97
152;0.01356769894361496;VGG13_XXXS;0.4075;0.98
153;0.009569644439220428;VGG13_XXXS;0.6036;0.99
154;0.009258285999298095;VGG13_XXXS;0.6054;0.992
155;0.009044412183761596;VGG13_XXXS;0.6085;0.994
156;0.008607721841335297;VGG13_XXXS;0.6176;0.996
157;0.008489059722423553;VGG13_XXXS;0.6195;0.998
