;Layer;map_size;start;jump;receptive_field
0;1-Conv2d;[416, 416];0.5;1.0;3.0
1;3-Conv2d;[416, 416];0.5;1.0;5.0
2;6-Conv2d;[208, 208];1.0;2.0;10.0
3;8-Conv2d;[208, 208];1.0;2.0;14.0
4;11-Conv2d;[104, 104];2.0;4.0;24.0
5;13-Conv2d;[104, 104];2.0;4.0;32.0
6;16-Conv2d;[52, 52];4.0;8.0;52.0
7;18-Conv2d;[52, 52];4.0;8.0;68.0
8;21-Conv2d;[26, 26];8.0;16.0;108.0
9;23-Conv2d;[26, 26];8.0;16.0;140.0
