;Layer;map_size;start;jump;receptive_field
0;1-Conv2d;[418, 418];-0.5;1.0;5.0
1;3-Conv2d;[420, 420];-1.5;1.0;9.0
2;6-Conv2d;[212, 212];-3.0;2.0;18.0
3;8-Conv2d;[214, 214];-5.0;2.0;26.0
4;11-Conv2d;[109, 109];-8.0;4.0;44.0
5;13-Conv2d;[111, 111];-12.0;4.0;60.0
6;16-Conv2d;[57, 57];-18.0;8.0;96.0
7;18-Conv2d;[59, 59];-26.0;8.0;128.0
8;21-Conv2d;[31, 31];-38.0;16.0;200.0
9;23-Conv2d;[33, 33];-54.0;16.0;264.0
