;Layer;map_size;start;jump;receptive_field
0;1-Conv2d;422;-2.5;1.0;9.0
1;3-Conv2d;428;-5.5;1.0;17.0
2;6-Conv2d;220;-11.0;2.0;34.0
3;8-Conv2d;226;-17.0;2.0;50.0
4;11-Conv2d;119;-28.0;4.0;84.0
5;13-Conv2d;125;-40.0;4.0;116.0
6;16-Conv2d;68;-62.0;8.0;184.0
7;18-Conv2d;74;-86.0;8.0;248.0
8;21-Conv2d;43;-130.0;16.0;384.0
9;23-Conv2d;49;-178.0;16.0;512.0
