;Layer;map_size;start;jump;receptive_field
0;1-Conv2d;[416, 416];0.5;1.0;3.0
1;4-Conv2d;[208, 208];1.0;2.0;8.0
2;7-Conv2d;[104, 104];2.0;4.0;18.0
3;9-Conv2d;[104, 104];2.0;4.0;26.0
4;12-Conv2d;[52, 52];4.0;8.0;46.0
5;14-Conv2d;[52, 52];4.0;8.0;62.0
6;17-Conv2d;[26, 26];8.0;16.0;102.0
7;19-Conv2d;[26, 26];8.0;16.0;134.0
